Name,Type1,Type2,Evolution
krabby,Water,,
kricketot,Bug,,
kricketune,Bug,,
krokorok,Ground,Dark,
krookodile,Ground,Dark,
kyogre,Water,,
kyurem,Dragon,Ice,
lairon,Steel,Rock,
lampent,Ghost,Fire,
landorus-incarnate,Ground,Flying,
lanturn,Water,Electric,
lapras,Water,Ice,
larvesta,Bug,Fire,
larvitar,Rock,Ground,
latias,Dragon,Psychic,
latios,Dragon,Psychic,
leafeon,Grass,,
leavanny,Bug,Grass,
ledian,Bug,Flying,
ledyba,Bug,Flying,
lickilicky,Normal,,
lickitung,Normal,,
liepard,Dark,,
lileep,Rock,Grass,
lilligant,Grass,,
lillipup,Normal,,
linoone,Normal,,
litleo,Fire,Normal,
litten,Fire,,
litwick,Ghost,Fire,
lombre,Water,Grass,
lopunny,Normal,,
lotad,Water,Grass,
loudred,Normal,,
lucario,Fighting,Steel,
ludicolo,Water,Grass,
lugia,Psychic,Flying,
lumineon,Water,,
lunala,Psychic,Ghost,
lunatone,Rock,Psychic,
lurantis,Grass,,
luvdisc,Water,,
luxio,Electric,,
luxray,Electric,,
lycanroc-midday,Rock,,
machamp,Fighting,,
machoke,Fighting,,
machop,Fighting,,
magby,Fire,,
magcargo,Fire,Rock,
magearna,Steel,Fairy,
magikarp,Water,,
magmar,Fire,,
magmortar,Fire,,
magnemite,Electric,Steel,
magneton,Electric,Steel,
magnezone,Electric,Steel,
makuhita,Fighting,,
malamar,Dark,Psychic,
mamoswine,Ice,Ground,
manaphy,Water,,
mandibuzz,Dark,Flying,
manectric,Electric,,
mankey,Fighting,,primeape
mantine,Water,Flying,
mantyke,Water,Flying,
maractus,Grass,,
mareanie,Poison,Water,
mareep,Electric,,
marill,Water,Fairy,
marowak,Ground,,
marshadow,Fighting,Ghost,
marshtomp,Water,Ground,
masquerain,Bug,Flying,
mawile,Steel,Fairy,
medicham,Fighting,Psychic,
meditite,Fighting,Psychic,
meganium,Grass,,
melmetal,Steel,,
meloetta-aria,Normal,Psychic,
meltan,Steel,,
meowstic-male,Psychic,,
meowth,Normal,,persian
mesprit,Psychic,,
metagross,Steel,Psychic,
metang,Steel,Psychic,
metapod,Bug,,butterfree
mew,Psychic,,
mewtwo,Psychic,,
mienfoo,Fighting,,
mienshao,Fighting,,
mightyena,Dark,,
milotic,Water,,
miltank,Normal,,
mime-jr,Psychic,Fairy,
mimikyu,Ghost,Fairy,
minccino,Normal,,
minior-meteor,Rock,Flying,
minun,Electric,,
misdreavus,Ghost,,
mismagius,Ghost,,
moltres,Fire,Flying,
monferno,Fire,Fighting,
morelull,Grass,Fairy,
mothim,Bug,Flying,
mr-mime,Psychic,Fairy,
mudbray,Ground,,
mudkip,Water,,
mudsdale,Ground,,
muk,Poison,,
munchlax,Normal,,
munna,Psychic,,
murkrow,Dark,Flying,
musharna,Psychic,,
naganadel,Poison,Dragon,
natu,Psychic,Flying,
necrozma,Psychic,,
nidoking,Poison,Ground,
nidoqueen,Poison,Ground,
nidoran-f,Poison,,nidorina
nidoran-m,Poison,,nidorino
nidorina,Poison,,nidoqueen
nidorino,Poison,,nidoking
nihilego,Rock,Poison,
nincada,Bug,Ground,
ninetales,Fire,,
ninjask,Bug,Flying,
noctowl,Normal,Flying,
noibat,Flying,Dragon,
noivern,Flying,Dragon,
nosepass,Rock,,
numel,Fire,Ground,
nuzleaf,Grass,Dark,
octillery,Water,,
oddish,Grass,Poison,
omanyte,Rock,Water,
omastar,Rock,Water,
onix,Rock,Ground,
oranguru,Normal,Psychic,
oricorio-baile,Fire,Flying,
oshawott,Water,,
pachirisu,Electric,,
palkia,Water,Dragon,
palossand,Ghost,Ground,
palpitoad,Water,Ground,
pancham,Fighting,,
pangoro,Fighting,Dark,
panpour,Water,,
pansage,Grass,,
pansear,Fire,,
paras,Bug,Grass,
parasect,Bug,Grass,
passimian,Fighting,,
patrat,Normal,,
pawniard,Dark,Steel,
pelipper,Water,Flying,
persian,Normal,,
petilil,Grass,,
phanpy,Ground,,
phantump,Ghost,Grass,
pheromosa,Bug,Fighting,
phione,Water,,
pichu,Electric,,
pidgeot,Normal,Flying,
pidgeotto,Normal,Flying,pidgeot
pidgey,Normal,Flying,pidgeotto
pidove,Normal,Flying,
pignite,Fire,Fighting,
pikachu,Electric,,raichu
pikipek,Normal,Flying,
piloswine,Ice,Ground,
pineco,Bug,,
pinsir,Bug,,
piplup,Water,,
plusle,Electric,,
poipole,Poison,,
politoed,Water,,
poliwag,Water,,poliwhirl
poliwhirl,Water,,poliwrath
poliwrath,Water,Fighting,
ponyta,Fire,,
poochyena,Dark,,
popplio,Water,,
porygon,Normal,,
porygon2,Normal,,
porygon-z,Normal,,
primarina,Water,Fairy,
primeape,Fighting,,
prinplup,Water,,
probopass,Rock,Steel,
psyduck,Water,,golduck
pumpkaboo-average,Ghost,Grass,
pupitar,Rock,Ground,
purrloin,Dark,,
purugly,Normal,,
pyroar,Fire,Normal,
pyukumuku,Water,,
quagsire,Water,Ground,
quilava,Fire,,
quilladin,Grass,,
qwilfish,Water,Poison,
raichu,Electric,,
raikou,Electric,,
ralts,Psychic,Fairy,
rampardos,Rock,,
rapidash,Fire,,
raticate,Normal,,
rattata,Normal,,raticate
rayquaza,Dragon,Flying,
regice,Ice,,
regigigas,Normal,,
regirock,Rock,,
registeel,Steel,,
relicanth,Water,Rock,
remoraid,Water,,
reshiram,Dragon,Fire,
reuniclus,Psychic,,
rhydon,Ground,Rock,
rhyhorn,Ground,Rock,
rhyperior,Ground,Rock,
ribombee,Bug,Fairy,
riolu,Fighting,,
rockruff,Rock,,
roggenrola,Rock,,
roselia,Grass,Poison,
roserade,Grass,Poison,
rotom,Electric,Ghost,
rowlet,Grass,Flying,
rufflet,Normal,Flying,
sableye,Dark,Ghost,
salamence,Dragon,Flying,
salandit,Poison,Fire,
salazzle,Poison,Fire,
samurott,Water,,
sandile,Ground,Dark,
sandshrew,Ground,,sandslash
sandslash,Ground,,
sandygast,Ghost,Ground,
sawk,Fighting,,
sawsbuck,Normal,Grass,
scatterbug,Bug,,
sceptile,Grass,,
scizor,Bug,Steel,
scolipede,Bug,Poison,
scrafty,Dark,Fighting,
scraggy,Dark,Fighting,
scyther,Bug,Flying,
seadra,Water,,
seaking,Water,,
sealeo,Ice,Water,
seedot,Grass,,
seel,Water,,
seismitoad,Water,Ground,
sentret,Normal,,
serperior,Grass,,
servine,Grass,,
seviper,Poison,,
sewaddle,Bug,Grass,
sharpedo,Water,Dark,
shaymin-land,Grass,,
shedinja,Bug,Ghost,
shelgon,Dragon,,
shellder,Water,,
shellos,Water,,
shelmet,Bug,,
shieldon,Rock,Steel,
shiftry,Grass,Dark,
shiinotic,Grass,Fairy,
shinx,Electric,,
shroomish,Grass,,
shuckle,Bug,Rock,
shuppet,Ghost,,
sigilyph,Psychic,Flying,
silcoon,Bug,,
silvally,Normal,,
simipour,Water,,
simisage,Grass,,
simisear,Fire,,
skarmory,Steel,Flying,
skiddo,Grass,,
skiploom,Grass,Flying,
skitty,Normal,,
skorupi,Poison,Bug,
skrelp,Poison,Water,
skuntank,Poison,Dark,
slaking,Normal,,
slakoth,Normal,,
sliggoo,Dragon,,
slowbro,Water,Psychic,
slowking,Water,Psychic,
slowpoke,Water,Psychic,
slugma,Fire,,
slurpuff,Fairy,,
smeargle,Normal,,
smoochum,Ice,Psychic,
sneasel,Dark,Ice,
snivy,Grass,,
snorlax,Normal,,
snorunt,Ice,,
snover,Grass,Ice,
snubbull,Fairy,,
solgaleo,Psychic,Steel,
solosis,Psychic,,
solrock,Rock,Psychic,
spearow,Normal,Flying,fearow
spewpa,Bug,,
spheal,Ice,Water,
spinarak,Bug,Poison,
spinda,Normal,,
spiritomb,Ghost,Dark,
spoink,Psychic,,
spritzee,Fairy,,
squirtle,Water,,wartortle
stakataka,Rock,Steel,
stantler,Normal,,
staraptor,Normal,Flying,
staravia,Normal,Flying,
starly,Normal,Flying,
starmie,Water,Psychic,
staryu,Water,,
steelix,Steel,Ground,
steenee,Grass,,
stoutland,Normal,,
stufful,Normal,Fighting,
stunfisk,Ground,Electric,
stunky,Poison,Dark,
sudowoodo,Rock,,
suicune,Water,,
sunflora,Grass,,
sunkern,Grass,,
surskit,Bug,Water,
swablu,Normal,Flying,
swadloon,Bug,Grass,
swalot,Poison,,
swampert,Water,Ground,
swanna,Water,Flying,
swellow,Normal,Flying,
swinub,Ice,Ground,
swirlix,Fairy,,
swoobat,Psychic,Flying,
sylveon,Fairy,,
taillow,Normal,Flying,
talonflame,Fire,Flying,
tangela,Grass,,
tangrowth,Grass,,
tapu-bulu,Grass,Fairy,
tapu-fini,Water,Fairy,
tapu-koko,Electric,Fairy,
tapu-lele,Psychic,Fairy,
tauros,Normal,,
teddiursa,Normal,,
tentacool,Water,Poison,
tentacruel,Water,Poison,
tepig,Fire,,
terrakion,Rock,Fighting,
throh,Fighting,,
thundurus-incarnate,Electric,Flying,
timburr,Fighting,,
tirtouga,Water,Rock,
togedemaru,Electric,Steel,
togekiss,Fairy,Flying,
togepi,Fairy,,
togetic,Fairy,Flying,
torchic,Fire,,
torkoal,Fire,,
tornadus-incarnate,Flying,,
torracat,Fire,,
torterra,Grass,Ground,
totodile,Water,,
toucannon,Normal,Flying,
toxapex,Poison,Water,
toxicroak,Poison,Fighting,
tranquill,Normal,Flying,
trapinch,Ground,,
treecko,Grass,,
trevenant,Ghost,Grass,
tropius,Grass,Flying,
trubbish,Poison,,
trumbeak,Normal,Flying,
tsareena,Grass,,
turtonator,Fire,Dragon,
turtwig,Grass,,
tympole,Water,,
tynamo,Electric,,
type-null,Normal,,
typhlosion,Fire,,
tyranitar,Rock,Dark,
tyrantrum,Rock,Dragon,
tyrogue,Fighting,,
tyrunt,Rock,Dragon,
umbreon,Dark,,
unfezant,Normal,Flying,
unown,Psychic,,
ursaring,Normal,,
uxie,Psychic,,
vanillish,Ice,,
vanillite,Ice,,
vanilluxe,Ice,,
vaporeon,Water,,
venipede,Bug,Poison,
venomoth,Bug,Poison,
venonat,Bug,Poison,
venusaur,Grass,Poison,
vespiquen,Bug,Flying,
vibrava,Ground,Dragon,
victini,Psychic,Fire,
victreebel,Grass,Poison,
vigoroth,Normal,,
vikavolt,Bug,Electric,
vileplume,Grass,Poison,
virizion,Grass,Fighting,
vivillon,Bug,Flying,
volbeat,Bug,,
volcanion,Fire,Water,
volcarona,Bug,Fire,
voltorb,Electric,,
vullaby,Dark,Flying,
vulpix,Fire,,ninetales
wailmer,Water,,
wailord,Water,,
walrein,Ice,Water,
wartortle,Water,,blastoise
watchog,Normal,,
weavile,Dark,Ice,
weedle,Bug,Poison,kakuna
weepinbell,Grass,Poison,
weezing,Poison,,
whimsicott,Grass,Fairy,
whirlipede,Bug,Poison,
whiscash,Water,Ground,
whismur,Normal,,
wigglytuff,Normal,Fairy,
wimpod,Bug,Water,
wingull,Water,Flying,
wishiwashi-solo,Water,,
wobbuffet,Psychic,,
woobat,Psychic,Flying,
wooper,Water,Ground,
wormadam-plant,Bug,Grass,
wurmple,Bug,,
wynaut,Psychic,,
xatu,Psychic,Flying,
xerneas,Fairy,,
xurkitree,Electric,,
yamask,Ghost,,
yanma,Bug,Flying,
yanmega,Bug,Flying,
yungoos,Normal,,
yveltal,Dark,Flying,
zangoose,Normal,,
zapdos,Electric,Flying,
zebstrika,Electric,,
zekrom,Dragon,Electric,
zeraora,Electric,,
zigzagoon,Normal,,
zoroark,Dark,,
zorua,Dark,,
zubat,Poison,Flying,
zweilous,Dark,Dragon,
zygarde-50,Dragon,Ground,
